id,target,text,clean_text
1,1,Our Deeds are the Reason of this #earthquake May ALLAH Forgive us all,deeds reason earthquake allah forgive
6,1,"13,000 people receive #wildfires evacuation orders in California ",people receive wildfires evacuation orders california
7,1,Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ,just got sent photo ruby alaska smoke wildfires pours school
8,1,#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires,rockyfire update california hwy closed directions lake county cafire wildfires
10,1,"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",flood disaster heavy rain causes flash flooding streets manitou colorado springs areas
17,1,Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding,haha south tampa getting flooded hah wait second live south tampa gonna gonna fvck flooding
18,1,#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count ,raining flooding florida tampabay tampa days lost count
19,1,#Flood in Bago Myanmar #We arrived Bago,flood bago myanmar arrived bago
4,1,Forest fire near La Ronge Sask. Canada,forest near la ronge sask canada
5,1,All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected,residents asked shelter place notified officers no evacuation shelter place orders expected
13,1,I'm on top of the hill and I can see a fire in the woods...,hill woods
14,1,There's an emergency evacuation happening now in the building across the street,theres emergency evacuation happening building street
