id,tipo_error,text,clean_text,real,prediccion,probabilidad_desastre,sentiment_label,sentiment_compound,negativity,keyword
1960,Falso positivo,if firefighters acted like cops they'd drive around shooting a flamethrower at burning buildings,firefighters acted like cops drive shooting flamethrower burning buildings,0,1,0.9426835391306713,positivo,0.3612,0.0,burning%20buildings
7754,Falso positivo,Maid charged with stealing Dh30000 from police officer sponsor http://t.co/y35qtVDSOH | https://t.co/qhUJAjCTR5,maid charged stealing dh police officer sponsor,0,1,0.9302698178708992,negativo,-0.6705,0.6705,police
7529,Falso positivo,@TroySlaby22 slicker than an oil spill,slicker oil spill,0,1,0.9221281669108896,positivo,0.1027,0.0,oil%20spill
1721,Falso positivo,@SonofLiberty357 all illuminated by the brightly burning buildings all around the town!,illuminated brightly burning buildings town,0,1,0.8825160991451898,positivo,0.4199,0.0,buildings%20burning
1763,Falso positivo,@RockBottomRadFM Is one of the challenges on Tough Enough rescuing people from burning buildings?,challenges tough rescuing people burning buildings,0,1,0.8800786558991492,negativo,-0.0516,0.0516,buildings%20burning
4076,Falso positivo,.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally displaced people; horror; etc. https://t.co/rqWuoy1fm4,potus strategicpatience strategy genocide refugees idp internally displaced people horror,0,1,0.8486543726907466,negativo,-0.5719,0.5719,displaced
6217,Falso positivo,Governor weighs parole for California school bus hijacker http://t.co/7NPBfRzEJL http://t.co/Y0kByy8nce,governor weighs parole california school bus hijacker,0,1,0.8466815814574686,neutral,0.0,0.0,hijacker
4298,Falso positivo,@NWSPocatello BG-16: So far brunt of storm just to our north. Grayed out w/ dust &amp; rain to N blue sky interspersed w/ clouds to S.,bg far brunt storm just north grayed w dust rain n blue sky interspersed w clouds s,0,1,0.8411106648021265,neutral,0.0,0.0,dust%20storm
6900,Falso positivo,@CarlaChamorros HILLARY A MASS MURDERER.,hillary mass murderer,0,1,0.8359478831799976,negativo,-0.6808,0.6808,mass%20murderer
4385,Falso positivo,#Sismo M 1.3 - 1km NNE of The Geysers California: Time2015-08-05 23:40:21 UTC2015-08-05 16:40:21 -07:00 a... http://t.co/x6el3ySYcn #CS,sismo m km nne geysers california time utc cs,0,1,0.8319328702470024,neutral,0.0,0.0,earthquake
2227,Falso positivo,Google Alert: Emergency units simulate a chemical explosion at NU http://t.co/NDgpWYxu6H,google alert emergency units simulate chemical explosion nu,0,1,0.8270568776126751,negativo,-0.1027,0.1027,chemical%20emergency
1986,Falso positivo,'When you attack women's health you attack America's health.' Hillary Clinton shows how to #StandwithPP http://t.co/HXdG254dHO,attack womens health attack americas health hillary clinton shows standwithpp,0,1,0.8114024698230914,negativo,-0.7351,0.7351,bush%20fires
132,Falso positivo,???? it was an accident http://t.co/Oia5fxi4gM,accident,0,1,0.8008978268894793,negativo,-0.6199,0.6199,accident
6037,Falso positivo,@rawfoodbliss I'm in the middle of a humid heat wave and a patch on my forehead flared up. I take olive oli extract and 4 tbs olive oil,middle humid heat wave patch forehead flared olive oli extract tbs olive oil,0,1,0.8002507130688911,neutral,0.0,0.0,heat%20wave
4292,Falso positivo,Drowning in Actavis suicide,drowning actavis suicide,0,1,0.8001848369742975,negativo,-0.6705,0.6705,drowning
